ds,yhat,yhat_lower,yhat_upper,station
2005-07-02,1603.6926824683655,1531.87302769297,1674.966252614713,Zwelitsha
2006-07-02,1611.4157618149488,1543.6692804426295,1680.0077680778475,Zwelitsha
2007-07-02,1563.5923343667819,1496.3581204366785,1630.9790823286626,Zwelitsha
2008-07-02,1465.54989828817,1389.6536328043849,1535.46157273755,Zwelitsha
2009-07-02,1528.7900445267137,1460.9900429345685,1596.9929717558696,Zwelitsha
2010-07-02,1536.51312368257,1465.5161009380197,1602.7700769730454,Zwelitsha
2011-07-02,1488.6896960820886,1419.2338435646093,1555.0956703092713,Zwelitsha
2012-07-02,1390.6472598730584,1321.5775203099129,1456.6750645404152,Zwelitsha
2013-07-02,1453.8874058802662,1389.0943833913745,1523.6358538652782,Zwelitsha
2014-07-02,1461.6104848460786,1387.4824779637574,1537.5493234243543,Zwelitsha
2015-07-02,1413.7870570752784,1347.6984040522466,1482.485134312594,Zwelitsha
2015-12-31,12038.83223962514,11966.521287329379,12107.90811348099,Zwelitsha
2016-12-31,12160.45505386744,12087.019379426687,12233.950925795145,Zwelitsha
2017-12-31,12114.671407644153,12050.227489247623,12182.577125986678,Zwelitsha
2018-12-31,12049.13193489764,11982.993922482714,12118.118841860762,Zwelitsha
2019-12-31,11963.929600489822,11897.008347232018,12035.518123709591,Zwelitsha
2005-07-02,375.21195359013024,321.2711838244509,435.9341675588826,Aberdeen
2006-07-02,391.54758911715675,337.8910163642084,449.88042908411285,Aberdeen
2007-07-02,407.14096231503703,351.4749419441524,470.1004368994086,Aberdeen
2008-07-02,332.90996235319864,269.22876592786736,390.81494551965505,Aberdeen
2009-07-02,349.960434457862,292.64926811351756,410.85961479275437,Aberdeen
2010-07-02,366.29607001615,309.4628295756667,422.0703402578946,Aberdeen
2011-07-02,381.88944668644547,325.0371596680756,437.97394267550607,Aberdeen
2012-07-02,307.6584502303537,249.60490670930523,364.88325158746756,Aberdeen
2013-07-02,324.7089258354574,263.964078675228,378.89671795118994,Aberdeen
2014-07-02,341.04456489072254,284.85481266936085,397.53123272243187,Aberdeen
2015-07-02,356.63794162178874,303.44234040445343,413.25564488803406,Aberdeen
2015-12-31,58.54874238966677,4.4031390846654395,117.85067108191079,Aberdeen
2016-12-31,44.274381818571385,-11.359024889435425,98.17323770584423,Aberdeen
2017-12-31,40.83374605547537,-10.657885119460243,100.22912156060634,Aberdeen
2018-12-31,37.176484049846096,-20.607089530193715,97.3004518294129,Aberdeen
2019-12-31,33.297237367794764,-21.32610207679248,87.00060928813899,Aberdeen
2005-07-02,2045.3023175915996,1942.4287871319955,2150.5367060313906,Acornhoek
2006-07-02,2054.664966624776,1950.8965089628955,2166.8027744324436,Acornhoek
2007-07-02,2116.6235712084676,2007.6143733783654,2228.4328302094295,Acornhoek
2008-07-02,1963.233618825359,1852.2082217639224,2065.1799310530687,Acornhoek
2009-07-02,1919.953680177307,1814.5483803149712,2024.2599577563121,Acornhoek
2010-07-02,1929.3155611649793,1822.0513564875848,2036.9764939086033,Acornhoek
2011-07-02,1991.2733976522527,1883.3525464731688,2110.7503450001377,Acornhoek
2012-07-02,1837.8826749890995,1726.004489289072,1946.9898618638197,Acornhoek
2013-07-02,1794.6021145527984,1681.6996632496055,1901.2041073122616,Acornhoek
2014-07-02,1803.963995497157,1702.8066904244217,1910.773973160793,Acornhoek
2015-07-02,1865.921831934269,1759.122322118706,1968.3876936911897,Acornhoek
2015-12-31,-12369.334409271098,-12477.55053275325,-12269.019304068002,Acornhoek
2016-12-31,-12558.939152761315,-12666.415978537669,-12450.521772793869,Acornhoek
2017-12-31,-12556.72137218928,-12658.44855181654,-12445.998955878023,Acornhoek
2018-12-31,-12535.268625843888,-12643.503398616458,-12420.409680145101,Acornhoek
2019-12-31,-12494.685975004893,-12599.388248315872,-12383.176093415046,Acornhoek
